PKLT_CD,PKLT_NM,ADDR,OPER_SE_NM,PRK_STTS_YN,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,DAY_MAX_CRG,LAT,LOT
171721,세종로 공영주차장(시),종로구 세종로 80-1,시간제 주차장,1,1260.0,182.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,430.0,5.0,430.0,5.0,30900.0,37.57340269,126.97588429
171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,시간제 주차장,1,1317.0,435.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,400.0,5.0,400.0,5.0,28800.0,37.57150398,126.99496888
171900,훈련원공원 공영주차장(시),중구 을지로5가 40-3,시간제 주차장,1,873.0,284.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,550.0,5.0,550.0,5.0,39600.0,37.56740014,127.00352062
172051,한강진역 공영주차장(시),용산구 한남동 728-27,시간제 주차장,1,174.0,20.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,400.0,5.0,400.0,5.0,28800.0,37.53952176,127.00257963
172065,용산주차빌딩 공영주차장(시),용산구 한강로2가 12-9,시간제 주차장,1,561.0,120.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,300.0,5.0,300.0,5.0,21600.0,37.53436379,126.96541818
172605,우이동 공영주차장(시),강북구 우이동 105-2,시간제 주차장,1,82.0,64.0,2024-11-20 02:16:19,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,0.0,0.0,0.0,0.0,80000.0,37.65671789,127.01163698
172935,웃우물 공영주차장(시),양천구 신정동 943-25,시간제 주차장,1,79.0,63.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,220.0,5.0,220.0,5.0,15800.0,37.52379759,126.85141746
172937,목동체비지 공영주차장(시),양천구 목동 908-26,시간제 주차장,1,55.0,62.0,2024-11-20 02:17:10,야간 미개방,0800,2100,0800,2100,0800,2100,N,N,130.0,5.0,130.0,5.0,9300.0,37.53679354,126.8806468
172970,방화역(서) 공영주차장(시),강서구 방화동 829-1,시간제 주차장,1,69.0,19.0,2024-11-20 02:17:10,야간 미개방,0800,2100,0800,2100,0800,2100,N,N,170.0,5.0,170.0,5.0,12200.0,37.57757395,126.81217459
172971,방화역(동) 공영주차장(시),강서구 방화동 830-4,시간제 주차장,1,67.0,1121.0,2024-11-20 02:17:10,야간 미개방,0800,2100,0800,2100,0800,2100,N,N,170.0,5.0,170.0,5.0,12200.0,37.57730116,126.81331479
172979,개화산역 공영주차장(시),강서구 방화동 845-0,시간제 주차장,1,321.0,45.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,170.0,5.0,170.0,5.0,12200.0,37.57224302,126.80518976
173005,가양3동 공영주차장(시),강서구 가양동 1488-12,시간제 주차장,1,56.0,1094.0,2024-11-20 02:17:10,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,200.0,5.0,200.0,5.0,14400.0,37.56033753,126.85977547
173047,영보빌딩 공영주차장(시),강서구 가양동 1480-10,시간제 주차장,1,79.0,42.0,2024-11-20 02:17:10,야간 미개방,0800,2100,0800,2100,0800,2100,N,N,260.0,5.0,260.0,5.0,18700.0,37.56332959,126.85308175
173424,일원역 공영주차장(시),강남구 일원동 716-2,시간제 주차장,1,67.0,19.0,2024-11-20 02:17:10,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,170.0,5.0,170.0,5.0,12200.0,37.48468629,127.08408987
173452,사당노외 공영주차장(시),서초구 방배동 507-1,시간제 주차장,1,183.0,59.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,400.0,5.0,400.0,5.0,28800.0,37.47543791,126.98377372
173553,수서역북 공영주차장(시),강남구 수서동 735-0,시간제 주차장,1,561.0,186.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,320.0,5.0,320.0,5.0,23000.0,37.48801285,127.09994995
173646,신천유수지 공영주차장(시),송파구 신천동 14-0,시간제 주차장,1,192.0,42.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,260.0,5.0,260.0,5.0,18700.0,37.52231457,127.10290327
173752,복정역 공영주차장(시),송파구 장지동 600-2,시간제 주차장,1,362.0,62.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,170.0,5.0,170.0,5.0,12200.0,37.47005293,127.1277329
173831,도봉산 공영주차장(시),도봉구 도봉동 282-26,시간제 주차장,1,142.0,48.0,2024-11-20 02:17:10,야간 미개방,0800,2200,0800,2200,0800,2200,N,N,170.0,5.0,170.0,5.0,12200.0,37.6876442,127.04066026
173840,볕우물 공영주차장(시),강동구 암사동 473-3,시간제 주차장,1,96.0,92.0,2024-11-20 02:17:10,야간 미개방,0000,0000,0000,0000,0000,0000,Y,Y,130.0,5.0,130.0,5.0,9300.0,37.55237413,127.13512275
173867,천호역 공영주차장(시),강동구 천호동 455-0,시간제 주차장,1,1431.0,608.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,260.0,5.0,260.0,5.0,18700.0,37.53849749,127.12512853
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,시간제 주차장,1,91.0,26.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,260.0,5.0,260.0,5.0,18700.0,37.48543179,126.90124331
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,시간제 주차장,1,399.0,73.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,170.0,5.0,170.0,5.0,12200.0,37.63800702,126.91932176
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,시간제 주차장,1,1.0,31.0,2024-11-20 02:16:38,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,220.0,5.0,220.0,5.0,0.0,37.4890235,126.92930793
1167546,독산동 금천교 공영주차장(시),금천구 독산동 1081-4,시간제 주차장,1,1.0,15.0,2024-11-20 02:16:36,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,400.0,5.0,400.0,5.0,0.0,37.46658718,126.88981413
1208601,청계2(북2) 공영주차장(시),종로구 관수동 91-4,시간제 주차장,1,1.0,4.0,2024-11-20 02:17:13,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,750.0,5.0,750.0,5.0,0.0,37.56882965,126.99630542
1210657,청계3(북1) 공영주차장(시),종로구 예지동 140-1,시간제 주차장,1,1.0,9.0,2024-11-20 02:17:14,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,750.0,5.0,750.0,5.0,0.0,37.56958147,127.00065667
1234305,가마산고가밑 공영주차장(시),구로구 구로동 414-13,시간제 주차장,1,1.0,18.0,2024-11-20 02:16:35,야간 미개방,0900,1900,0900,1500,0000,0000,N,Y,120.0,5.0,120.0,5.0,0.0,37.49296464,126.88270317
1235665,청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,시간제 주차장,1,1.0,4.0,2024-11-20 02:16:40,야간 미개방,0000,2400,0000,2400,0000,0000,N,Y,450.0,5.0,450.0,5.0,0.0,37.56960075,127.01521402
1247636,신설동 공영주차장(시),동대문구 신설동 114-29,시간제 주차장,1,79.0,32.0,2024-11-20 02:17:10,야간 미개방,0900,1900,0900,1900,0900,1900,N,N,260.0,5.0,260.0,5.0,18700.0,37.57252061,127.02425684
1277144,영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,시간제 주차장,1,137.0,64.0,2024-11-20 02:17:10,야간 미개방,0500,0100,0500,0100,0500,0100,N,N,260.0,5.0,260.0,5.0,18700.0,37.52432737,126.89548892
1277145,잠실역 공영주차장(시),송파구 신천동 27-0,시간제 주차장,1,357.0,58.0,2024-11-20 02:17:10,야간 미개방,0500,0100,0500,0100,0500,0100,N,N,400.0,5.0,400.0,5.0,28800.0,37.51427683,127.10341414
1277146,장안2동 공영주차장(시),동대문구 장안동 286-9,시간제 주차장,1,80.0,60.0,2024-11-20 02:17:10,야간 미개방,0000,2400,0000,2400,0000,2400,N,N,130.0,5.0,130.0,5.0,9300.0,37.5782752,127.07061896
1277160,당산노외 공영주차장(시),영등포구 당산동3가 2-1,시간제 주차장,1,236.0,53.0,2024-11-20 02:17:10,야간 미개방,0800,2100,0800,2100,0800,2100,N,N,260.0,5.0,260.0,5.0,18700.0,37.52625065,126.89945376
1277163,명일동 공영주차장(시),강동구 명일동 47-9,시간제 주차장,1,11.0,8.0,2024-11-20 02:16:39,야간 미개방,0900,2000,0900,1500,0000,0000,N,Y,220.0,5.0,220.0,5.0,15800.0,37.55361065,127.15591212
1366527,동작대교 공영주차장(시),용산구 용산동6가 69-11,시간제 주차장,1,88.0,48.0,2024-11-20 02:17:10,야간 미개방,0800,2200,0800,2200,0800,2200,N,N,120.0,5.0,120.0,5.0,8600.0,37.518577,126.983287
